hourly_wage,education,gender,hours_cat,experience,depression_score,hh_income,year_born,region,full_time_status,job_role,months_per_year,race,hispanic_latino,country_of_birth,works_public_school,urban_density,college_for_pd,workshop_for_pd,enrolled_in_college,interaction_quality_total,self_rated_health
11.22,Some college credit but no degree,Female,31 to 35 hours,>25 years,3.0,Don't Know/Refused/No Answer,1954 and earlier,South,Full-time worker,Aide or assistant teacher,11,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
11.11111111112,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>25 years,6.0,"$60,001 or more",1972,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
14.5,Some college credit but no degree,Female,40 hours,>25 years,5.0,"$30,001 to $45,000",1965,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Mexico,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,Three items correct,Fair
11.1,Some college credit but no degree,Female,20 hours or less,>20 to <=25 years,1.0,"$15,001 to $30,000",1984,West,Part-time worker,Aide or assistant teacher,2,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,No,No,No,All items correct,Excellent
11.2,High school graduate,Female,21 to 30 hours,<=5 years,4.0,"Less than $15,000",1997 and later,West,Part-time worker,Aide or assistant teacher,10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,Yes,No,No,Three items correct,Very good
11.8918918919,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,<=5 years,6.0,"$60,001 or more",1991,South,Full-time worker,"Teacher, instructor, or lead teacher",10,Asian Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
9.06,High school graduate,Female,40 hours,>10 to <=15 years,3.0,"$15,001 to $30,000",1975,South,Full-time worker,Aide or assistant teacher,12,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Two items correct,Very good
8.33333333334,Less than High School,Female,21 to 30 hours,>25 years,3.5,"Less than $15,000",1961,South,Part-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,Not applicable. WF respondent did not graduate high school,Three items correct,Fair
15.96,Some college credit but no degree,Female,40 hours,>20 to <=25 years,0.0,"$30,001 to $45,000",1974,West,Full-time worker,Other/undetermined,12,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,Don't Know/Refused/No Answer,Yes,Yes,All items correct,Excellent
Not enough information to calculate hourly wage,Graduate or professional degree,Female,21 to 30 hours,>15 to <=20 years,5.0,"$45,001 to $60,000",1987,Midwest,Part-time worker,"Teacher, instructor, or lead teacher",6,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
13.2,High school graduate,Female,40 hours,>5 to <=10 years,2.333333333333,"Less than $15,000",1989,West,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Two items correct,Very good
15.0,Less than High School,Female,21 to 30 hours,>5 to <=10 years,1.0,"$30,001 to $45,000",1954 and earlier,West,Part-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,Not applicable. WF respondent did not graduate high school,All items correct,Excellent
Not enough information to calculate hourly wage,Graduate or professional degree,Female,Over 40 hours,>15 to <=20 years,Three or more responses missing,Don't Know/Refused/No Answer,Don't Know/Refused/No Answer,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,Rural population,No,Yes,No,One or more items missing,Don't know/Refused/No answer
10.0,High school graduate,Female,21 to 30 hours,>5 to <=10 years,2.0,"Less than $15,000",1993,Northeast,Part-time worker,Aide or assistant teacher,7,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Two items correct,Excellent
12.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>10 to <=15 years,3.0,"$45,001 to $60,000",1984,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
11.5,Some college credit but no degree,Female,21 to 30 hours,<=5 years,1.0,"$30,001 to $45,000",1987,South,Part-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Northeast,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
20.0,High school graduate,Female,40 hours,>5 to <=10 years,5.0,"$30,001 to $45,000",1980,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Mexico,WF spawned from CB provider associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Very good
14.58333333334,Some college credit but no degree,Female,40 hours,>10 to <=15 years,4.0,"$60,001 or more",1993,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Other,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Very good
25.0,"Bachelor's degree (BA, BS, AB)",Female,20 hours or less,>5 to <=10 years,3.0,"$60,001 or more",1983,South,Part-time worker,"Teacher, instructor, or lead teacher",10,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
12.16,Some college credit but no degree,Female,20 hours or less,>5 to <=10 years,2.0,"Less than $15,000",1997 and later,West,Part-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Very good
10.75,Some college credit but no degree,Female,20 hours or less,<=5 years,6.0,"Less than $15,000",1997 and later,West,Part-time worker,Aide or assistant teacher,2,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,Yes,Three items correct,Fair
Not enough information to calculate hourly wage,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>10 to <=15 years,0.0,Don't Know/Refused/No Answer,1978,South,Full-time worker,"Teacher, instructor, or lead teacher",2,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,Yes,No,Yes,All items correct,Very good
7.69230769231,"Bachelor's degree (BA, BS, AB)",Male,Over 40 hours,>5 to <=10 years,0.0,"$60,001 or more",1965,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
8.39160839161,"Associate degree (AA, AS)",Female,20 hours or less,>15 to <=20 years,3.0,"Less than $15,000",1954 and earlier,West,Part-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
13.7125,"Bachelor's degree (BA, BS, AB)",Female,40 hours,<=5 years,3.0,Don't Know/Refused/No Answer,1995,South,Full-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,No,Yes,No,All items correct,Very good
15.0,"Associate degree (AA, AS)",Female,31 to 35 hours,>20 to <=25 years,0.0,"$30,001 to $45,000",Don't Know/Refused/No Answer,Midwest,Full-time worker,Aide or assistant teacher,9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
20.0,"Bachelor's degree (BA, BS, AB)",Female,20 hours or less,>15 to <=20 years,11.0,"$60,001 or more",1972,West,Part-time worker,Other/undetermined,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Northeast,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
31.93277310925,Graduate or professional degree,Female,31 to 35 hours,>15 to <=20 years,0.0,"$60,001 or more",1970,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
7.5,High school graduate,Female,40 hours,<=5 years,2.0,"Less than $15,000",1996,South,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,No,No,Three items correct,Excellent
12.5,Less than High School,Female,20 hours or less,>5 to <=10 years,1.0,Don't Know/Refused/No Answer,1990,South,Part-time worker,"Teacher, instructor, or lead teacher",12,Other,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,Not applicable. WF respondent did not graduate high school,Three items correct,Very good
14.0,Some college credit but no degree,Female,Over 40 hours,>10 to <=15 years,8.0,"$60,001 or more",1980,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
10.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>5 to <=10 years,0.0,"$15,001 to $30,000",1985,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
8.0,High school graduate,Female,40 hours,>20 to <=25 years,0.0,"$15,001 to $30,000",1978,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Rural population,No,No,No,Three items correct,Excellent
10.0,High school graduate,Female,40 hours,<=5 years,5.0,"$45,001 to $60,000",1996,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",8,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Fair
17.09401709402,Some college credit but no degree,Female,Over 40 hours,>5 to <=10 years,Three or more responses missing,Don't Know/Refused/No Answer,Don't Know/Refused/No Answer,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,Don't know/Refused/No Answer,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,One or more items missing,Don't know/Refused/No answer
Not enough information to calculate hourly wage,"Associate degree (AA, AS)",Female,31 to 35 hours,<=5 years,Three or more responses missing,"$15,001 to $30,000",1997 and later,Northeast,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Excellent
Not enough information to calculate hourly wage,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,Three or more responses missing,Don't Know/Refused/No Answer,1994,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
15.75,"Associate degree (AA, AS)",Female,40 hours,>10 to <=15 years,4.0,"$60,001 or more",1978,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,Yes,Yes,No,All items correct,Fair
14.67,Some college credit but no degree,Female,21 to 30 hours,>10 to <=15 years,2.0,Don't Know/Refused/No Answer,1955 to 1959,South,Part-time worker,"Teacher, instructor, or lead teacher",9,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
28.44444444445,"Associate degree (AA, AS)",Female,Over 40 hours,>15 to <=20 years,6.0,"$30,001 to $45,000",1982,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Fair
26.0,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,1.0,"$60,001 or more",1990,West,Full-time worker,"Teacher, instructor, or lead teacher",12,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Excellent
16.0,"Associate degree (AA, AS)",Female,40 hours,>15 to <=20 years,0.0,"$15,001 to $30,000",1986,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
107.5,Graduate or professional degree,Female,40 hours,>20 to <=25 years,0.0,"$60,001 or more",1960,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",11,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
Not enough information to calculate hourly wage,Graduate or professional degree,Female,40 hours,>25 years,0.0,"$15,001 to $30,000",Don't Know/Refused/No Answer,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,One or more items missing,Excellent
Not enough information to calculate hourly wage,"Bachelor's degree (BA, BS, AB)",Female,21 to 30 hours,>25 years,0.0,"$60,001 or more",1954 and earlier,Midwest,Part-time worker,Aide or assistant teacher,10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
17.0,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,0.0,Don't Know/Refused/No Answer,1980,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,One or more items missing,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,South,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
13.725,High school graduate,Female,40 hours,>5 to <=10 years,3.0,"$45,001 to $60,000",1997 and later,West,Full-time worker,Aide or assistant teacher,12,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
22.52252252253,"Bachelor's degree (BA, BS, AB)",Female,36 to 39 hours,>25 years,0.0,"$45,001 to $60,000",1961,South,Full-time worker,"Teacher, instructor, or lead teacher",Don't know/Refused/No Answer,Black or African American Only,Don't know/Refused/No Answer,Don't know/Refused/No Answer,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
15.0,"Bachelor's degree (BA, BS, AB)",Female,21 to 30 hours,<=5 years,5.0,"$30,001 to $45,000",1980,Northeast,Part-time worker,Aide or assistant teacher,3,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,Three items correct,Excellent
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,South,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
12.85714285715,Some college credit but no degree,Female,Over 40 hours,>15 to <=20 years,0.0,"$45,001 to $60,000",1981,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,Don't know/Refused/No Answer,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
14.0,Graduate or professional degree,Female,40 hours,<=5 years,0.0,"$30,001 to $45,000",1973,South,Full-time worker,Aide or assistant teacher,8,Don't know/Refused/No Answer,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Excellent
31.54761904762,Graduate or professional degree,Female,31 to 35 hours,>15 to <=20 years,6.0,"$45,001 to $60,000",1973,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
14.5,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>10 to <=15 years,0.0,"$60,001 or more",1990,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Excellent
Not enough information to calculate hourly wage,Some college credit but no degree,Female,21 to 30 hours,>5 to <=10 years,4.0,Don't Know/Refused/No Answer,1997 and later,Midwest,Part-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,One or more items missing,Fair
10.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>20 to <=25 years,3.0,"$60,001 or more",1968,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
16.0,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>10 to <=15 years,14.0,"$60,001 or more",1987,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
10.0,High school graduate,Female,40 hours,>5 to <=10 years,3.0,"$45,001 to $60,000",1982,South,Full-time worker,Aide or assistant teacher,12,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
11.0,Some college credit but no degree,Female,40 hours,>10 to <=15 years,0.0,"$60,001 or more",1965,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,Three items correct,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
14.5,Some college credit but no degree,Female,20 hours or less,<=5 years,0.0,"$60,001 or more",1973,West,Part-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
17.72,Graduate or professional degree,Female,40 hours,>10 to <=15 years,0.0,"Less than $15,000",1981,West,Full-time worker,"Teacher, instructor, or lead teacher",8,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
13.0,Some college credit but no degree,Female,21 to 30 hours,>5 to <=10 years,1.0,Don't Know/Refused/No Answer,1981,West,Part-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Don't Know/Refused/No Answer,Yes,No,Three items correct,Fair
16.5,Some college credit but no degree,Female,40 hours,>10 to <=15 years,0.0,"$60,001 or more",1980,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
Not enough information to calculate hourly wage,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>25 years,0.0,Don't Know/Refused/No Answer,1969,South,Full-time worker,"Teacher, instructor, or lead teacher",1,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,Three items correct,Very good
